"entry,def"
"流理構造,デイサイトや流紋岩など，粘性の高いマグマからできた溶岩流や貫入岩体にみられる縞状構造．"
"りょう盤,山岳トンネルの両側壁の間をはりとして連結した底盤部の構造で一般的に良好な地山状況で採用される．インバートと異なりアーチ構造になっていないため，変形抑制効果が小さいことから将来盤ぶくれ等の変状が予見される地質では不適である．"
"リングカット工法,上部半断面の核(さね)の部分を残し，アーチ部分だけをリング状に掘削する工法をいう．上半切羽が自立し得ないほど地質条件が悪い場合に，最も効果的な掘削工法である．図は底設導坑先進上部半断面工法におけるリングカットの例であり，③がそれに相当する．"
"リング支保工,円形断面のトンネルや立坑を掘削する時に用いる環状の支保工のことで，円形支保工ともいう．一般にはH型鋼，U型鋼，鋼管等を冷間加工し製作される．TBM施工時や膨張性地山対策としての円形断面の支保工に用いられる．"
"リング閉合,膨張性地山における地山の変位抑制対策として行われる対策工の1つをいう．膨張性地山の掘削において，トンネル形状はなるべく円形に近い形とし，必ずインバートを設けて全周を閉合する必要がある．インバートはコンクリートによって直接閉合する場合が多いが，地山の変位量や変位速度が大きく早期に断面を閉合する必要がある場合は，施工性と強度の早期発現に優れる吹付けコンクリートによって一次閉合することがある．また，繊維補強吹付けコンクリートの採用やストラットを併用する場合もある．この場合，一次閉合の施工を掘削サイクルに組み込み，切羽間近で一間ごとに施工することが望ましい．"
"ルジオン値,岩盤の透水性を定量的に表すことを目的として，スイスの地質学者Maurice Lugeonが提唱した単位．0.98MPaの圧力でボーリング孔内に水を送ったときの孔長1m当たりの毎分の注入量をリットル数で表す．普通10分間の試験の平均値をとる．透水係数の適用が困難なトンネル地山の透水性の評価に用いることがある．"
"ルジオンテスト,割れ目を含む不均質な地盤の透水性を試験する方法．ボーリング孔内にパッカーで試験区間を設定し，0.98MPaの圧力で注水した場合の孔長1m当たりの注入量（L/min）をルジオン値という．注水圧力を段階的に上昇させ，圧力(P)と注水量(Q)の関係を示す注水量曲線(P-Q曲線)から求める．主に亀裂性岩盤へのグラウト注入前の透水性の評価として，ダムサイト等で一般的に用いられているが，亀裂性岩盤を対象としたトンネルの止水注入の評価にも用いられることがある．"
"ルーバー,自然光の強さを桁状，格子状の構造物で遮蔽し，車道空間を適切な明るさに維持する装置．光緩和建築物ともいう．"
"ルーフィング,シート状の屋根防水材．一般にフェルトまたは紙にアスファルトを含浸し，プレコートしたアスファルト系防水材のことをいう．トンネルの維持管理で用いられることがある．"
"ルーフシールド,断面が半円形状のシールドをいう．山岳トンネルの場合は，左右の側壁導坑を先進施工し，それらの中にレールを敷いてルーフシールドを設置し，トンネル上部からの土の崩壊を防ぎながら掘進する．"
"冷間加工,金属を常温で塑性変形させ，所定の形状に加工することをいう．冷間加工は加工に大きな力が必要であるが，寸法精度のよいものや硬化して強度の高いものが得られる．また材料に傷があった場合，その発見が容易で，かつ熱管理の必要がないため，鋼製支保工の曲げ加工は原則として冷間加工によって行われている．"
"レイズボーラ工法,立坑における機械掘削工法の一種である．ずりシュートやコンクリート投入孔などの小口径の立坑掘削や，導坑先進拡大掘削工法のための立坑導坑の施工に用いられる．本工法では， φ  250mm程度のパイロット孔を上から下向きに掘削して下部坑に貫通させた後，リーミング用ビットを上向きに取り付けてパイロット孔を下から上向きにリーミングアップして立坑を掘削する．長所としては，立坑内に人が入らないため安全性に優れる，比較的掘削能率が高い，他の機械掘削工法に比べて安価であるといった点が挙げられる．一方，短所としては，硬岩では切削にともなうカッターコストが高くなる，軟弱地山や破砕帯では支保工の方法がないため，側壁が崩壊し，掘削が行えなくなる等が挙げられる．"
"レイタンス,フレッシュコンクリート中のセメントの微粒子や骨材の微粒分が，ブリーディング水とともにコンクリートの上面に上昇して堆積した，多孔質で脆弱な薄層をいう．コンクリートを打ち継ぐ場合には，レイタンスにより付着性が低下し，一体化を阻害するため，ひび割れの原因となることが多いので，これを取り除かなければならない．"
"レイリー波,表面波の一つ．進行方向を含む鉛直面内で振動し，表面からの深さが増すと，振幅は急激に減少する．"
"礫,ある範囲の粒径をもつ土粒子．またはそれを多く含んだ土の名称．日本統一分類法によれば，２～75ｍｍの範囲の粒径に対して用いられるが，粒径の範囲は国や分類法により異なる．一般に岩石が風化作用等によって破砕されてつくられる．"
"礫径,礫の直径．地質調査では，通常，ボーリング調査から得られた最大コア長の2.5～3.0倍程度を，原地盤の最大礫径と推定している．"
"礫除去装置,泥水式シールドで掘削した土砂から，流体輸送ができない礫や玉石などを取り除く装置．処理方法としては，礫などを隔壁内にためて処理する方法，排泥管の途中で礫分離機によって除去する方法，およびクラッシャーによって破砕し流体輸送する方法等がある．"
"礫処理設備,排泥ポンプの通過限界径以上の礫（通常，2枚羽根インペラで管径の1/2～1/3）が出る場合に使用される装置.礫除去方式と礫破砕方式とがある．礫除去装置は，除去後の運搬装置（通常，掘削土運搬車が用いられる）が必要となることや，除去作業に多大の労力を必要とすることから，最近では用いられることが少なくなった．一方，礫破砕方式には機内処理と坑内処理があるが，シールドを特殊構造に変える必要のない坑内処理（水中クラッシャー）が通常採用される．この場合には原則として循環ポンプの設置が必要となる．"
"礫率,土に含まれる礫粒子の質量百分率．一般に，土の炉乾燥質量に対する割合で表す．"
"レーザー距離計,レーザー光を照射して対象物からの反射光を測定し,対象物までの距離を計測する定置式の計測機器をいう．レーザー距離計の多くはノンプリズム測距方式を採用し,測点に反射ターゲットを設置する必要がないため,無人自動計測を行うことができる．通信回線を介してレーザー距離計をコンピューターに接続し,遠隔地から常時監視・制御を行うこともある.おもに施工中のトンネルや,近接工事の影響を受ける供用中トンネルの挙動監視等に利用される．"
"レーザー照準器,レーザー光の指向性，収束性のよさ，および遠距離まで到連する性質を利用して，基準線としてレーザー光を照射しておき，トンネルの坑内測量等に用いる機械をいう．一般にレーザー光としては，ヘリウムとネオンの混合ガスを発光材とした光レーザーが用いられる．このレーザーは赤色光で視認性がよく，また人体に対しても無害であること，電力消費量が少なく小型軽量で，寿命が長いという特長がある．トンネル内基準線照射用としては，光の到達距離が300m程度のものが用いられている．以前はレーザー発振装置と調整装置付き台座からなる単体のレーザー照準器が主流で，常時切羽に基準線を照射しておき，掘削の際の定規として用いられてきた．最近では，レーザー照射機能付きのトータルステーションやトランシットが使用されている．"
"レーザートランシット,レーザー光が，温度や気圧などに影響されないで直進する性質を利用した測量機械である．測線が長い場合や，夜間やトンネル内のように視認性の悪い場所での測量の精度を高めるために用いられる．トンネル内では，ヘリウムとネオンの混合ガスを発光材とした光レーザーによるものが用いられる．これは赤色の可視光線で，到達距離が数百メートルであり，しかも長時間，確実に照射しておけるので，基準線を常時照射しながら，坑内測量を簡易に精度良くするために用いられる．"
"レシーバタンク,圧縮空気の送風量を一定に保ち，水分を除去するため圧縮空気を一時貯蔵するタンク．トンネル坑内の吹付けコンクリートの施工に用いることがある．1分間の送気量の1/10以上の容量が必要である．なるべく日陰に設置する．長大トンネルでは坑内にも設ける場合もある．"
"レジンカプセル,不飽和ポリエステル樹脂やエポキシ樹脂などのポリマーを充填したカプセル（レジンカプセル）．削孔した地山中にこのカプセルを挿入しておき，アンカーやボルトを挿入して攪拌・固着さらには硬化養生させることで所定の強度を発揮させることができる．トンネルでは，ロックボルトの定着材として使用されることがある．"
"レジン系定着材,カプセル中の樹脂（レジン）と硬化剤をロックボルトの挿入・回転によって化学反応を起こさせてロックボルトを定着させる定着材をいう．"
"レジンコンクリート管,推進用ヒューム管の結合材に不飽和ポリエステル樹脂を用い，骨材と混合したレジンコンクリートを鉄筋で補強した管をいう．製法には，遠心力成形法と振動成形法がる．"
"レーダー探査,電磁波を放射することにより，電磁波の反射，屈折，透過などの物理現象を利用して探査する手法．一般的には地表からの地質構造や埋設物の探査，ボーリング孔を利用した探査，空中からの探査等がある．利用する電磁波には，パルス波と連続波の２種類がある．トンネルでは，埋設物の調査や路面下空洞調査，覆工背面の空洞の有無や覆工厚の調査として使用されることがある．"
"劣化要因,トンネルの劣化の原因のこと．変状原因ともいう．劣化要因は，外力，環境に起因する「外因」と材料，施工，設計に起因する「内因」とに大別される．また，内因は外因による変状を促進させる．山岳トンネルではこれらの様々な劣化要因が複合的に作用して変状が発生することが多い．そのため，劣化要因について十分な調査を行い，変状発生の根本的な要因を見極めて適切な対策工を設定する必要がある．"
"劣化予測,検査，調査の結果をもとに将来の劣化(変状）の進行度合いを予測すること．変状予測ともいう．トンネルの劣化は地山の状態や周辺環境に大きく依存するため，精度の高い変状予測を行うことは難しい．現状では，過去の類似事例を参考にする方法，覆工材料の劣化予測式を用いて推定する方法，土圧変化の予測式を用いて構造解析を行う方法等が試みられている．"
"レッグドリル,エアレッグを用いた打撃・回転機構を持つ小型の削岩機をいう．エアレッグの角度を加減してつり合わせ，穿孔とともに，レッグの足の位置を前進させて適当な角度を保つことができる．水平孔の穿孔が可能である．"
"レッグパイル,土砂地山や亀裂性の卓越した岩盤を山岳トンネルで施工する場合，また，大断面トンネルを施工する場合にトンネルの沈下を抑制し地耐力を確保するために，支保工の脚部を補強してトンネル構造の安定を図る工法．長尺フォアパイリングと同様に切羽で長尺の鋼管を支保工脚部の支持盤に打ち込み，支保工脚部に削孔と同時に鋼管を挿入し，その後鋼管と地山の空隙に固化材を充填することで早期に支保工脚部補強が行える．汎用の油圧ショベルに拡径ビットと鋼管の接続装置を有するダウンザホールハンマを取り付けた専用機や油圧削岩機での施工も可能．"
"レディーミクストコンクリート,レディーミクストコンクリートとは，整備されたコンクリート製造設備をもつ工場で練混ぜを完了し，運搬車によってフレッシュな状態で工事現場に配達されるコンクリート．"
"レール方式,坑道に軌道を敷設し，ずり鋼車やシャトルカーをバッテリー機関車等でけん引してずり運搬を行う方式をいう．レール方式には，小断面トンネルでの適合性が高いこと，内燃機関が少なく排ガスが少ないこと，施工基面となる路盤の維持が容易であること等の利点がある．一方，軌道等の仮設備が必要で，適用可能なトンネル勾配に限界があり，逸走や脱線に留意が必要である．"
"煉瓦積み,煉瓦を積み上げて覆工を構築すること．トンネルの覆工材料として煉瓦が使われたのは明治時代から大正時代が主であり，昭和時代以降は場所打ちコンクリートによる覆工に取って代わられた．煉瓦の積み方はイギリス積み，フランス積み，小口積み，長手積みなどさまざまな種類がある．"
"連続ずり搬出装置,シールドトンネルの坑内から坑外へのずり搬出を連続的に行う装置．ずり処理の省力化，機械化，シールド基地の有効利用を目的としている．リングチェーンに小型バケットを取り付けたエプロンフィーダー，バルクヘツド内よりずりを連続的に搬出するスクリューディスチャージャ，コンテナ方式のずり運搬車を立体的に走行させる装置などを組み合わせ，自動制御する方法が実施されている．"
"連続体解析,連続体力学とは固体と流体の運動及び力学的挙動を解析する力学の一分野である．連続体力学では対象を巨視的に捉え，空間的に微分可能な連続体に理想化し，物体内部の各点における力学的な関係式を元に，変形・流動，波動の伝播，エネルギーの変換等を論じる．このような力学大系に基づく数値解析を連続体解析と呼称する．"
"連続ベルトコンベヤー,ベルトコンベヤーの一種で，トンネルの掘進に伴いベルトを延伸できるものをいう．一般に，トンネル坑内のずり出しに用いられる．延伸前のベルトはストレージカセット内に収納され，トンネルの掘進に伴ってベルトコンベヤーを延伸させ，おおむね75～150mの掘進ごとにベルトを接合し継ぎ足す．連続ベルトコンベヤーによるずり出しは，タイヤ方式と比較すると排気ガスが抑制できる，路盤を傷めないなどの利点があるが，タイヤ方式よりも高価であることが多い．"
"連壁本体利用,連壁本体利用とは，開削トンネルの構築に使用した地下連続壁を永久構造物として本体に利用すること．構造物幅の縮小，掘削土量の低減，工事費の節減を図ることが効果として期待される．連壁本体利用の構造形式としては，一体壁形式，単独壁形式が用いられる．一体壁形式は，地下連続壁と内側の接合面にジベルを取付けるなどして，完全に一枚の壁として荷重に抵抗するようにしたものである．単独壁形式は，内壁を設けずに地下連続壁のみで荷重に抵抗するようにしたものである．設計においては仮設時から完成までを連続的に1つの設計で行う一体計算法と，仮設時の設計と本体の設計を個々に行う分離計算法がある．"
"連絡坑,並設導坑と本坑を結ぶ通路．"
"連絡ダクト,道路トンネルの換気施設を構成する設備の一つである．トンネルの換気を行うためのダクトのひとつ．連絡ダクトは，横流式換気方式，半横流換気方式などでトンネルダクトと換気所を連絡するダクトを，縦流換気方式では本坑と換気所を連絡するダクトをいう．"
"連絡横坑,併設する2本の本設トンネル間に，一定の間隔以内で設置する避難用の連絡通路となる横坑をいう．避難坑や施工中の併設導坑と本坑を結ぶ連絡通路トンネルも含む．"
"漏気,トンネル掘削に圧気工法を用いる場合，坑内の圧縮空気が地山を破壊しない状態で漏洩することをいう．漏気量が大きくなると，坑内圧気圧の保持が困難となり，切羽からの湧水や崩壊の原因となりやすい．漏気は，切羽，シールドテール部，一次覆工，隔壁で発生するので，注入工法による地山の改良，セグメント継手目地，裏込め注入等の確実な施工により漏気防止を図らなければならない．特に，大断面の場合は，漏気を考慮して圧気設備容量を決定する必要がある．"
"漏水,トンネル内面に地下水が浸入すること．覆工の耐荷力の低下や覆工材料の劣化原因となるほか，車両通行への障害や坑内設備の腐食の原因となる．漏水が多いと覆工背面の地山材料の流出により空洞が発生し，地山の緩み圧が覆工に作用することがある．また，寒冷地では凍結融解による覆工材料の劣化が進むことがあるほか，つららや側氷により車両への障害が発生する場合がある．"
"漏水処理,構造物完成後に漏水に対して講ずる手段であり，鉄板または合成樹脂性のとい，シート，管類（水抜き管）等で流滴水を集水したり，覆工内面にモルタルを塗布して漏水を側壁下部に導く方法などが行われる．"
"労働安全衛生法,昭和47年に公布された労働災害防止のための総合立法で，昭和22年以来労働基準法の中で規制されていた安全衛生関係を独立させた法律である．労働災害のための危害防止基準の確立，安全管理の責任体制の明確化，自主的活動の促進の措置を講ずるなど災害防止に関する総合的，計画的な対策を推進することにより，職場における労働者の安全と健康を確保するとともに，快適な作業環境の形成を促進することを目的としている．また，この法律の関係政省令として，労働安全衛生法施行令，労働安全衛生規則，クレーン等安全規則，高気圧作業安全衛生規則，酸素欠乏防止規則等がある．これらは,施工に際して遵守すべき最低の基準を示したものであり，安全衛生の確保のために施工者はもちろん企業者も十分熟知しておかなければならない．"
"労働基準法,労働者の労働条件に関する統一的保護法典である．ただし，安全と衛生に関しては，労働安全衛生法がある．労働契約，賃金，労働時間，有給休暇，女子年少者の就業制限，災害補償などについて詳細な規定がなされている．トンネルに関しても，坑内での女子労働者，満16才未満の年少労働者の就業禁止，現場に建てられる労働者の宿舎に関する諸規定，賃金支払いの規定など労働関係で遵守すべき事項が多い．"
"漏風,有効な通気とならず，入気側から排気側に漏れる空気．風管を用いる通気では，風管の継目からの漏風のため，有効風量が半分以下になることも珍しくない．したがって，風管の管理，特に継目の漏風防止を十分行うことが重要である．"
"ろ過式集じん機,集じん機の一種で，ろ過により粉じんを分離することで集じんを行う．電気集じん機などとともに，乾式集じん機に分類される．集じんを行うフィルタ部には，マットユニットフィルタ，マット自動巻取りフィルタ，バグフィルタ，高性能フィルタ等があり，それぞれ集じん効率や適用可能な粉じん粒径が異なる．"
"ろ過特性,泥水式シールド工法では，泥水が切羽面に浸透するとともに，切羽面に不透水性の泥膜が形成され，切羽の安定が図られている．泥水の特性のうち，こうした特性をいう．"
"ローカルファン,トンネル切羽周辺の風量を確保する目的で，小型の送風機を設置する．この送風機をローカルファンという．"
"路側排水工,トンネル坑内の排水工のひとつ．トンネル壁面の洗浄清掃水，漏水および車両等によるトンネル内への持ち込み水などの排水を目的として路側に設ける排水工をいう．"
"ロータリー式吹付け機,コンクリートを吹き付ける手法の一種で，コンクリートポンプから圧送供給された生コンクリートを高速回転するインペラの遠心力によって投射し，壁面に圧着する方式である．急結剤は投射口にて注入される．"
"ロータリー式ボーリング,ボーリングの一方式で，サンプリングやコアリングが必要な時に用いられる工法である．地盤を押しつけ力と回転力により削孔し，送水によりスライムを排出する．"
"ロータリーパーカッションドリル式,パーカッションボーリングマシンのロッドに回転力を加え，より掘削が容易になるよう改良されたドリルの型式．深部や硬い岩盤に適している．"
"六価クロム,土木工事ではセメント（普通ポルトランドセメント，高炉セメントＢ種）やセメント系固化材などの地盤改良材が活用され，地盤改良が行われている．一方でセメント中には人の健康に影響を及ぼすおそれがある六価クロムが一定程度含まれ，その品質や地盤の状況により土壌環境基準を上回る六価クロムが溶出する可能性がある．平成１２年３月に建設省（現：国土交通省）はセメント・セメント系改良材を使った地盤改良・改良土再利用に際して，六価クロム溶出試験を行うことを決め，地方自治体もほとんどこの措置を適用している．"
"ロッカーショベル,ずり積み機の一種．バケットローダともいう．ずりをバケットですくい，空気圧でバケットを反転させて機体後方のベルトコンベヤーにあけ，ずり運搬車へ積込む．主に小断面トンネルで，レール式のものが用いられてきたが，安全性が低く使用者の熟練度を要するため，現在ではほとんど使われていない．"
"ロッキングパイプ,地下連続壁のエレメント間を，フリー継手によって接合するときに使用する外側平滑な鋼管パイプのこと．先行エレメント端部にパイプを建込み，打込んだコンクリートの硬化に合わせてパイプを引抜き，水平断面は半円形の空間を形式してエレメント間を接続する．"
"ロックオーガー,75 kW以上の大型アースオーガー．大きな玉石層や岩盤層等硬質地盤のせん孔，大口径のせん孔，地中障害物のせん孔等に利用される．ケーシングとその中のスクリューが互いに逆回転して同時に削孔するタイプと，ケーシングとスクリューがそれぞれのオーガーで独立削孔を可能としたセパレートタイプがある．"
"ロック設備,圧気工法を採用する場合に必要な圧気設備の一部で，圧気側と大気側の境界部に設ける．ロック設備には，横ロックと縦ロック等があり，施工条件に適合するように用いられる．計画坑内圧を保つためのバルクヘッド，ずりおよび材料搬出入用のマテリアルロック，入出坑用マンロック，非常用ロックおよび送・排気管等からなっている．"
"ロックブレーカ,軟岩等を切崩し，小割りするための破砕機械の総称である．ピックハンマのように先のとがったのみに打撃のみを伝える手持ちの削岩機から，シリンダ状の鉄棒で打撃や圧砕する大型のものまであり，トンネル工事ではずりびんや坑外のずり仮置き場付近で小割りに使用される．また，トンネル掘削，こそく作業に用いられる．"
"ロックボルト,トンネル壁面から地山内部に穿孔された孔のほぼ中心に定置された鋼棒などの心材，心材を孔の周囲の地山と一体化するための定着材および頭部で心材と吹付けコンクリート等と一体化するためのプレートとナットから構成される複合部材をいう．吹付けコンクリートや鋼製支保工とは異なり，地山の内部から支保機能が発揮される．ロックボルトは地山自身の持っている耐荷力を最大限に利用して地山を支持するところに特徴があり，吊下げ効果，はり形成効果等の作用効果があると考えられる．"
"ロックボルト軸力測定,ロックボルトの軸力を測定して，ロックボルトの作用効果の確認や，増し打ち等の判断資料を得ることを目的とする計測である．測定方法としては，ロックボルトにワイヤストレインゲージを貼り，電気式ひずみ計による方法，メカニカルアンカーによりボルトの変位分布を求めて推定する方法，ベアリングプレートと掘削面との間にロードセルなどを設置して直接測定する方法がある．"
"ロックボルトの引抜試験,ロックボルトの定着効果を確認するために，ボルトの変位と張力との関係および引抜き抵抗を求める計測である． 一般に，センターホールジャッキで引抜き力を付与し，ボルト頭部の変位をダイヤルゲージで測定する．"
"ロッド,削岩機とビットの中間部をいい，削岩機に取り付けるシャンク部と先端のビット部と一体となって使用される．ロッドとしてJIS規定されている径または対辺距離は，19，22，25，32，38mmで，長さは，1.2～3.3mである．トンネル工事では，主として径22mmおよび25mmの六角中空綱と径32mmの丸型中空鋼を使用するが，特殊な長孔用継ぎロッドとして八角中空鋼やプレーン鋼，また軟弱地山では，くり粉の排出が便利なスパイラルロッド用のツイスト鋼などの特殊なものも使用される．"
"ローディングショベル,ローディングショベルとは，建設機械の一種であり，アームの先にバケット（ショベル）を   前向きに取り付けたもののこと．"
"ロディンチューブ,専用の削孔機を用いて所定の深度まで長孔削孔した後，ロッド先端に取り付けた特殊な噴射装置により硬化剤を高圧で噴射させながらロッドを回転させながら引抜き，地山切削・混合作用による均一な円柱状の改良体を造成する工法である．切羽前方地山の補強を目的とした先受け工等として採用される．改良径はφ600mm程度で削孔長さは10～15m程度が標準である．基本的には鋼管等の芯材は必要としないが，改良体造成後に芯材を設置する事例もある．"
"露頭,野外の崖や斜面で地層や岩体が表土に覆われることなく露出している箇所．地表とトンネル部における地層や岩石の分布，年代，地質構造等を調べる地質調査に利用される．"
"露頭観察,岩石・堆積物・鉱床などが，自然にまたは人工的に地表に現れた部分について観察し，様々な地質情報を収集する調査のこと．露頭観察を中心とした地表踏査により，トンネル沿いの地質・地質構造，地山の強度，断層破砕帯の位置の推定などを行う．露頭観察における重要な調査項目は，地質の種類，岩石の硬さ，地層の走向・傾斜，断層破砕帯の規模や走向・傾斜，岩盤中の不連続面の間隔，状態，風化，変質の状況などである．"
"ロードセル,トンネル支保工にかかる土圧や，切ばり・腹起しに加わる軸力などを測定するための荷重計で，ワイヤストレインゲージによって荷重を検出するものである．"
"ロードヒーティング,道路の凍結を防止する設備の一つである．寒冷地等の道路トンネルにおいて，坑口前後の路面の凍結，結氷を防止するために，道路の舗装体内に電熱線あるいは温水パイプを埋設し，その熱を利用して路面の温度を上げる設備をいう．"
"ロードホールダンプ,トンネル坑内用に開発されたフロントエンドローダの一種．タイヤ駆動式で，積込み・運搬を同時に行う．機体の前方に取り付けたバケットによって鉱石や廃石をすくい上げ，トラックなどに積み込む．限られた空間での作業を考え，高さが低く，また回転半径を小さくするために機体中央をヒンジで結び，前部と後部で折れ曲がるようになっている．"
"路盤排水工,裏面排水工で集水した湧水を中央排水工へ導水する排水工の系統を指し，裏面排水工～横断排水工～中央排水工によって構成される．それぞれの排水工には一般的に高密度ポリエチレン管が採用されている．"
"ローム,粘土，シルト，砂が適度に混じりあった，粘りすぎず粗すぎもしない土壌物質をいう．国際法による土性区分では，粘土(径0.002mm以下)が15％以下，シルト(0.002～0.02mm)が45％以下，砂(0.02～2mm)が65％以下と定義される．"
"路面覆工,開削工法により掘削を行った場合に掘削箇所における交通等を確保するために，コンクリートや鋼製の板（覆工板）を敷設して掘削箇所を覆うこと．支持杭に設けた桁受けに覆工桁を設置し，その上に覆工板を敷設する．覆工板は，長さが2mおよび3mのものが多く使用されている．また，すべり防止や騒音低減を目的として，表面に加工を行っているものがあり，凹凸をつけたもの，コンクリート，アスファルト，樹脂等で被覆したものがある．覆工板の選定にあたっては，現場の状況や期間などを考慮することが重要である．"
"ローラーカッター,全断面用トンネル掘削機の巨石，粗石および岩盤の破砕機構のひとつで，カッターヘッドに固定した軸の回りを自由回転する算盤の玉のような形状のビットをいう．カッターヘッドの回転トルクおよび推力によりローラーカッターの先端を切羽に押し付けめり込ませて溝をつけ，地山を割裂破砕する．ローラーカッターには，ギヤカッター，チップインサートカッター，トリコンカッター，センターカッターなどがあり，１枚刃，２枚刃，３枚刃のものがある．"
"ロングステップ工法,立坑を掘削する工法の一つ．ロングステップ工法は穿孔，発破，ずり処理，支保工建込みの掘削サイクルを繰り返し，20～30m掘削した後にこの区間をまとめて覆工する工法である．コンクリートをまとめて打設するために，打設計画がたてやすいこと，打継目が少ないことの利点がある．しかし，支保工の施工が作業能率やコストに大きな影響を与えること，ショートステップ工法に比べて作業の安全性が劣るなどの欠点があり，ショートステップ工法が開発された以降は，ロングステップ工法はほとんど採用されなくなった．"
"ワイヤストレインゲージ,ワイヤストレインゲージは，抵抗線をベース上に密着して張り渡したもので，試験体の所定の位置・方向に貼り付けられ使用される．基本原理は，ゲージが貼り付けられた試験体に生じたひすみに応じて変化する抵抗線の抵抗変化を検出して，ひずみを測定する．測定の目的や特性に対応して，多くの種類のゲージがある．"
"ワイヤソー,ダイヤモンドをコーティングし，ビーズを結合したダイヤモンドワイヤ．切断対象物に巻き付け，その両端をスリーブで接続して，駆動機でエンドレスに回転させ鉄筋コンクリートを切断・解体する．無筋または鉄筋量の少ないマスコンクリートに有効な工法である．"
"ワイヤブラシ,テールシールのうち，波状に加工された硬鋼線（ワイヤ）を材料としたものをいう．ワイヤブラシによるテールシールは，ブラシ，ブラシ外面の保護板，ブラシの間に挟んだ複数枚の目の細かい鋼製メッシュシートで構成される．現在，ほとんどのシールドに用いられている．"
"ワーカビリティー,コンシステンシーに伴う作業の難易の程度と，均等質のコンクリートとするために必要な材料の分離に抵抗する程度で示されるフレッシュコンクリートの性質をいう．ワーカビリティーは凝結に至るまでのフレッシュコンクリートの施工のしやすさに関するあらゆる項目を含むものである．特に，充てん性，ポンプ圧送性，凝結特性が優れていることが重要である．"
"割れ目,岩石あるいは岩盤中のあらゆる不連続面を表わす用語.土木分野で用いられる「割れ目」は，裂か（fissure），断裂(fracture)，節理(joint)，片理(schistosity)，へき開（cleavege）など形態や成因の異なるものを一括した総称として用いられることが多い.トンネルの施工では，割れ目の方向や状態などが掘削面などの安定性に重要な指標となっている．"
"割れ目状態,切羽観察によって得られる情報の1つで，割れ目の開口度や挟在物，粗さや鏡肌の状態をいう．岩盤の強度や安定を判断するうえで最も重要とされる．"
"割れ目間隔,切羽観察によって得られる情報の1つで，切羽面に設定した１測線を切る不連続面間の間隔の平均値をいう．節理のように不連続面が互いに平行に配列しているときには，測線は不連続面に垂直に取る．一般的に，割れ目の間隔が短いほど岩盤強度は小さくなり，落盤や切羽崩壊の危険性が高まり，多量の支保が必要となる．"
"割れ目形態,切羽観察によって得られる情報の1つで，地山に発達する割れ目の形のことをいう．ランダム方形，柱状，層状，土砂状などに分類される．岩石には，生成時の固結の仕方やその後に受けた地殻変動によって，特徴的な形態を示す割れ目が生じることがあり，岩石種別や割れ目の成因の特定，地山特性の推定等に利用される．"
"ワンパス型継手,ボルトを用いないで，セグメントを容易に接合することができる継手．嵌合，くさび，ピン挿入，コンクリート突合せなどの種類がある．"
"アースアンカー,アースアンカーはテンドンと呼ばれるＰＣ鋼材（ＰＣ鋼より線）をボーリング孔に挿入し，先端部をグラウト材で地盤に固定し，ＰＣ鋼材の緊張力で山留め壁や切土法面を安定させるもの．また構造物の転倒，浮上がり防止にも用いられる．また，アンカー体が将来の地下工事の障害とならないように工事完了後除去可能な工法も数多く施工されている．開削工法においては，掘削断面の空間確保，設計図通りの鉄筋組立が可能等の利点から採用されている．支持方式により，①摩擦型アンカー：地盤とアンカー体の周面摩擦抵抗によりアンカー力を地盤に伝達する方式，②支圧型アンカー：アンカー体の断面に働く受働土圧（支圧）によりアンカー力を地盤に伝達させる方式，③複合型アンカー：摩擦型と支圧型の両方による方式に分類される．"
"アスペクト比,繊維補強コンクリートにおいて，繊維の直径または換算直径に対する長さの比をいう．アスペクト比（L/d L：繊維の長さ，d：繊維の換算直径）に応じた限界混入率を超えると，繊維補強コンクリートにおいてファイバーボールを生じたり，繊維が折れ曲がったりする．トンネルや地下空洞の断面寸法に関する縦横比を示す場合にもアスペクト比が使われることがある．"
"アセットマネジメント,トンネル構造物や橋梁などを社会資本としてとらえ，中長期的な視点から計画的，効率的に維持管理を行う手法のこと．ライフサイクルコスト（LCC）最小化と予防保全的な観点から構造物の健全度評価，劣化予測を行い，維持管理に係わる総予算の削減と年度間の平準化をめざすものである．もともとは金融資産や不動産の運用のために導入された手法であるが，近年，土木構造物への導入が進められている．"
"圧縮せん断破壊,岩石やコンクリートが圧縮力を受けた場合，軸差応力によるせん断力により破壊する現象をいう．岩石試料の一軸圧縮試験では明瞭な破壊面を確認することができる．"
"圧密沈下,圧密による間隙の体積の変化に伴い，地盤が沈下する現象をいう．"
"アブレシブウォータージェット,水に研磨材を添加して高圧で噴射することで，材料を切断する方法．鉄筋コンクリート，ガラス，鉄鋼や，複合材料・厚いものの切断も可能である．"
"アルカリ骨材反応,骨材中のシリカ鉱物とセメント中のアルカリイオンが化学反応を起こし，骨材が膨張する現象である．骨材の膨張により覆工内部にひび割れが生じ，覆工の強度が低下するとともに，はく離，はく落の原因となる．コンクリート表面に亀甲状のひび割れが発生する．反応のメカニズムと骨材の種類により，アルカリシリカ反応，アルカリ炭酸塩岩反応およびアルカリシリケート反応の３つに分類される．"
